"trap_id","zone","zone2","trap_date","year","week","spp","method","trap_status","total"
"FC-031","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",88
"FC-039","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",3
"FC-039","SE","FC",2019-08-05,2019,31,"Pipiens","L","culex",3
"FC-039","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",84
"FC-039","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",84
"FC-046","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",0
"FC-046","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",26
"FC-046","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",26
"FC-047","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",0
"FC-047","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",62
"FC-047","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",62
"FC-050","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",41
"FC-050","SE","FC",2019-08-05,2019,31,"Pipiens","L","culex",41
"FC-050","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",49
"FC-050","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",49
"FC-053","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",5
"FC-053","SE","FC",2019-08-05,2019,31,"Pipiens","L","culex",5
"FC-053","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",184
"FC-053","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",184
"FC-059","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",0
"FC-059","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",28
"FC-059","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",28
"FC-064","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",0
"FC-064","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",68
"FC-064","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",68
"FC-074","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",0
"FC-074","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",224
"FC-074","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",224
"FC-075","SE","FC",2019-08-05,2019,32,"Pipiens","L","culex",16
"FC-075","SE","FC",2019-08-05,2019,31,"Pipiens","L","culex",16
"FC-075","SE","FC",2019-08-05,2019,32,"Tarsalis","L","culex",68
"FC-075","SE","FC",2019-08-05,2019,31,"Tarsalis","L","culex",68
"FC-075GR","SE","FC",2019-08-05,2019,32,"Pipiens","G","culex",41
"FC-075GR","SE","FC",2019-08-05,2019,31,"Pipiens","G","culex",41
"FC-075GR","SE","FC",2019-08-05,2019,32,"Tarsalis","G","culex",0
"FC-088GR","SE","FC",2019-08-05,2019,32,"Pipiens","G","culex",222
"FC-088GR","SE","FC",2019-08-05,2019,31,"Pipiens","G","culex",222
"FC-088GR","SE","FC",2019-08-05,2019,32,"Tarsalis","G","culex",0
"LV-078","LV","LV",2019-08-05,2019,32,"Pipiens","L","culex",3
"LV-078","LV","LV",2019-08-05,2019,32,"Tarsalis","L","culex",54
"LV-089","LV","LV",2019-08-05,2019,32,"Pipiens","L","culex",0
"LV-089","LV","LV",2019-08-05,2019,32,"Tarsalis","L","culex",56
"LV-089","LV","LV",2019-08-05,2019,31,"Tarsalis","L","culex",56
"LV-104","LV","LV",2019-08-05,2019,32,"Pipiens","L","culex",0
"LV-104","LV","LV",2019-08-05,2019,32,"Tarsalis","L","culex",59
"LV-104","LV","LV",2019-08-05,2019,31,"Tarsalis","L","culex",59
"LV-110","LV","LV",2019-08-05,2019,32,"Pipiens","L","culex",0
"LV-110","LV","LV",2019-08-05,2019,32,"Tarsalis","L","culex",7
"LV-110","LV","LV",2019-08-05,2019,31,"Tarsalis","L","culex",7
"FC-006","NE","FC",2019-08-04,2019,32,"Pipiens","L","culex",19
"FC-006","NE","FC",2019-08-04,2019,31,"Pipiens","L","culex",19
"FC-006","NE","FC",2019-08-04,2019,32,"Tarsalis","L","culex",60
"FC-006","NE","FC",2019-08-04,2019,31,"Tarsalis","L","culex",60
"FC-014","NE","FC",2019-08-04,2019,32,"Pipiens","L","culex",5
"FC-014","NE","FC",2019-08-04,2019,31,"Pipiens","L","culex",5
"FC-014","NE","FC",2019-08-04,2019,32,"Tarsalis","L","culex",57
"FC-014","NE","FC",2019-08-04,2019,31,"Tarsalis","L","culex",57
"FC-019","NE","FC",2019-08-04,2019,32,"Pipiens","L","culex",22
"FC-019","NE","FC",2019-08-04,2019,31,"Pipiens","L","culex",22
"FC-019","NE","FC",2019-08-04,2019,32,"Tarsalis","L","culex",150
"FC-019","NE","FC",2019-08-04,2019,31,"Tarsalis","L","culex",150
"FC-034","NE","FC",2019-08-04,2019,32,"Pipiens","L","culex",0
"FC-034","NE","FC",2019-08-04,2019,32,"Tarsalis","L","culex",399
"FC-034","NE","FC",2019-08-04,2019,31,"Tarsalis","L","culex",399
"FC-036","NW","FC",2019-08-04,2019,32,"Pipiens","L","culex",0
"FC-036","NW","FC",2019-08-04,2019,32,"Tarsalis","L","culex",40
"FC-036","NW","FC",2019-08-04,2019,31,"Tarsalis","L","culex",40
"FC-038","NE","FC",2019-08-04,2019,32,"Pipiens","L","culex",0
"FC-038","NE","FC",2019-08-04,2019,32,"Tarsalis","L","culex",60
"FC-038","NE","FC",2019-08-04,2019,31,"Tarsalis","L","culex",60
"FC-040","NE","FC",2019-08-04,2019,32,"Pipiens","L","culex",0
"FC-040","NE","FC",2019-08-04,2019,32,"Tarsalis","L","culex",58
"FC-040","NE","FC",2019-08-04,2019,31,"Tarsalis","L","culex",58
"FC-040GR","NE","FC",2019-08-04,2019,32,"Pipiens","G","culex",12
